"cv_aucs","test_aucs","model"
0.769290893681138,0.635042735042735,"L2_Logistic_Regression"
0.719990896820165,0.702564102564103,"L2_Logistic_Regression"
0.777531451311939,0.638888888888889,"L2_Logistic_Regression"
0.731584459023483,0.65042735042735,"L2_Logistic_Regression"
0.73827895840091,0.645726495726496,"L2_Logistic_Regression"
0.740547516157272,0.685042735042735,"L2_Logistic_Regression"
0.736883835054567,0.635042735042735,"L2_Logistic_Regression"
0.764488530342189,0.576923076923077,"L2_Logistic_Regression"
0.728278539863906,0.816666666666667,"L2_Logistic_Regression"
0.752890521183204,0.727350427350427,"L2_Logistic_Regression"
0.763020686191418,0.651709401709402,"L2_Logistic_Regression"
0.758548618304716,0.576495726495726,"L2_Logistic_Regression"
0.736006215274508,0.656410256410256,"L2_Logistic_Regression"
0.724948467631394,0.777777777777778,"L2_Logistic_Regression"
0.732464781855026,0.704273504273504,"L2_Logistic_Regression"
0.757047116803214,0.569230769230769,"L2_Logistic_Regression"
0.748837600666869,0.625213675213675,"L2_Logistic_Regression"
0.751033437618803,0.613675213675214,"L2_Logistic_Regression"
0.747167027654833,0.716239316239316,"L2_Logistic_Regression"
0.740845374991716,0.663247863247863,"L2_Logistic_Regression"
